epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,699.86,2.35504,2.74679,2.45992,0.532,0.14419,0.31923,0.19059,1.70591,1.64802,2.25339,0.000301388,0.000301388,0.000301388
2,1731.4,1.61472,1.50699,2.12432,0.39591,0.13986,0.25552,0.16175,1.3865,1.55614,2.12604,0.000598405,0.000598405,0.000598405
3,3534.39,1.49703,1.32774,2.03114,0.58741,0.16569,0.37828,0.24609,1.39088,1.27782,2.09079,0.000889422,0.000889422,0.000889422
4,4889.48,1.42774,1.2638,1.99038,0.56672,0.38264,0.41096,0.27884,1.25592,1.39387,2.00984,0.000882003,0.000882003,0.000882003
5,6438.71,1.37039,1.19982,1.94619,0.49228,0.26189,0.35026,0.23064,1.23424,1.33706,1.9991,0.000873004,0.000873004,0.000873004
6,7987.56,1.32105,1.14702,1.93239,0.67973,0.36662,0.51957,0.35356,1.26706,1.09621,2.03201,0.000864004,0.000864004,0.000864004
7,9585.41,1.27657,1.12686,1.8819,0.68944,0.52678,0.60854,0.43565,1.14999,1.08605,1.95154,0.000855005,0.000855005,0.000855005
8,11056.5,1.25593,1.08583,1.86266,0.63012,0.66518,0.66581,0.47597,1.17301,1.10028,1.82066,0.000846006,0.000846006,0.000846006
9,12780.1,1.23911,1.06067,1.83473,0.76944,0.56531,0.67324,0.4668,1.17159,1.03592,1.84293,0.000837007,0.000837007,0.000837007
10,14358.9,1.20953,1.05614,1.82467,0.73492,0.56903,0.66068,0.47433,1.12271,1.03266,1.81627,0.000828008,0.000828008,0.000828008
11,16357.6,1.20575,1.02727,1.81919,0.71867,0.74429,0.76428,0.56504,1.08607,1.013,1.78463,0.000819009,0.000819009,0.000819009
12,671.513,1.19607,0.99154,1.79477,0.8275,0.15012,0.49359,0.37028,1.08533,0.94498,1.76945,0.00081001,0.00081001,0.00081001
13,1651.44,1.19139,0.99734,1.78103,0.56884,0.09261,0.32971,0.23727,1.09686,1.08297,1.74441,0.000801011,0.000801011,0.000801011
14,2685.86,1.15925,0.96299,1.75234,0.74467,0.20743,0.47707,0.34713,1.11606,1.0197,1.83309,0.000792012,0.000792012,0.000792012
15,4073.68,1.18498,0.9666,1.75674,0.59829,0.33555,0.46652,0.34249,1.07904,1.04375,1.73763,0.000783013,0.000783013,0.000783013
16,5706.43,1.14748,0.95186,1.74324,0.66161,0.45628,0.55912,0.41077,1.10063,1.0403,1.76053,0.000774013,0.000774013,0.000774013
17,7274.49,1.13364,0.93468,1.75071,0.78194,0.61132,0.70594,0.52552,1.04711,0.93151,1.75832,0.000765014,0.000765014,0.000765014
18,8751.33,1.13185,0.93348,1.72973,0.74324,0.68342,0.72497,0.55146,1.03222,0.98631,1.72586,0.000756015,0.000756015,0.000756015
19,10273.1,1.11038,0.90974,1.71748,0.63394,0.73168,0.64965,0.48689,1.0313,1.14981,1.70123,0.000747016,0.000747016,0.000747016
20,11794.8,1.10301,0.90548,1.71529,0.72192,0.68373,0.71907,0.5373,1.06441,1.00975,1.69432,0.000738017,0.000738017,0.000738017
21,13238.4,1.09459,0.9192,1.70205,0.68431,0.78733,0.74687,0.56285,1.04348,1.03486,1.66451,0.000729018,0.000729018,0.000729018
22,15046.6,1.0985,0.90292,1.71369,0.82534,0.6881,0.76096,0.57892,1.02842,0.9049,1.69228,0.000720019,0.000720019,0.000720019
23,17341.6,1.09525,0.90988,1.68893,0.81606,0.76539,0.80226,0.61462,1.00904,0.91488,1.6737,0.00071102,0.00071102,0.00071102
24,19243.2,1.08869,0.89734,1.68205,0.78746,0.81951,0.84064,0.64442,1.00457,0.90126,1.70804,0.000702021,0.000702021,0.000702021
25,21251.4,1.08405,0.89646,1.68553,0.84685,0.82025,0.83969,0.64165,1.03057,0.86895,1.66513,0.000693022,0.000693022,0.000693022
26,26114.3,1.07629,0.87824,1.67688,0.85575,0.84007,0.86915,0.67488,0.9787,0.84218,1.64479,0.000684022,0.000684022,0.000684022
27,34686.6,1.06767,0.87089,1.67306,0.71028,0.73506,0.72241,0.54529,1.03753,1.02411,1.63794,0.000675023,0.000675023,0.000675023
28,39751.4,1.08213,0.88856,1.6782,0.76456,0.78747,0.79471,0.61167,0.99546,0.90769,1.62257,0.000666024,0.000666024,0.000666024
29,49715.8,1.07041,0.87604,1.6586,0.76895,0.82923,0.81477,0.63085,1.00985,0.91667,1.6565,0.000657025,0.000657025,0.000657025
30,651.574,1.05564,0.84458,1.66198,0.72434,0.13146,0.4317,0.33225,0.97729,0.91313,1.60938,0.000648026,0.000648026,0.000648026
31,1584.55,1.04805,0.85954,1.65623,0.73455,0.12135,0.43237,0.33177,0.97426,0.90061,1.62991,0.000639027,0.000639027,0.000639027
32,2555.26,1.04438,0.83173,1.64081,0.76954,0.20101,0.48789,0.37655,0.97265,0.86489,1.61257,0.000630028,0.000630028,0.000630028
33,3901.72,1.04877,0.83334,1.64316,0.65463,0.39238,0.51593,0.39767,0.97461,0.94276,1.59129,0.000621029,0.000621029,0.000621029
34,5404.23,1.04227,0.83859,1.6423,0.66974,0.61445,0.64322,0.49629,0.99486,0.98513,1.60741,0.00061203,0.00061203,0.00061203
35,6840.49,1.03955,0.83292,1.65163,0.81714,0.69688,0.77092,0.60267,0.95965,0.84607,1.59849,0.000603031,0.000603031,0.000603031
36,8333.91,1.0264,0.83354,1.63659,0.74645,0.66323,0.71882,0.56261,0.94395,0.9101,1.60428,0.000594031,0.000594031,0.000594031
37,9817.96,1.02824,0.81402,1.63945,0.79793,0.80089,0.79964,0.62168,0.98368,0.91321,1.71247,0.000585032,0.000585032,0.000585032
38,11241.2,1.02124,0.80573,1.62469,0.73138,0.71066,0.73237,0.56675,0.97048,0.93831,1.57674,0.000576033,0.000576033,0.000576033
39,12654.1,1.01749,0.83086,1.63137,0.72917,0.77553,0.78077,0.61303,0.94532,0.93948,1.61752,0.000567034,0.000567034,0.000567034
40,14254,1.02514,0.81119,1.63595,0.81261,0.74604,0.78669,0.61638,0.96052,0.87958,1.5832,0.000558035,0.000558035,0.000558035
41,16212.9,1.01364,0.82047,1.61573,0.78444,0.7634,0.79851,0.62935,0.93018,0.87212,1.57701,0.000549036,0.000549036,0.000549036
42,19290.4,1.01192,0.81604,1.61592,0.84734,0.8338,0.85701,0.67387,0.94006,0.80647,1.62636,0.000540037,0.000540037,0.000540037
43,21140.9,1.00748,0.82016,1.61393,0.7728,0.83421,0.80389,0.62953,0.95261,0.89072,1.58687,0.000531038,0.000531038,0.000531038
44,26301.2,1.00477,0.80222,1.60976,0.81652,0.82887,0.84303,0.66786,0.93179,0.83236,1.60229,0.000522039,0.000522039,0.000522039
