epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,523.212,1.67433,1.57087,1.4393,0.74919,0.41881,0.43419,0.25024,1.47252,1.00389,1.26083,0.00997093,0.00332364,0.00997093,0.00332364,0.00997093,0.00332364,0.00997093,0.00332364
2,1179.4,1.37451,0.921,1.1957,0.77416,0.43284,0.44776,0.26945,1.34619,0.94617,1.19057,0.0198721,0.00662402,0.0198721,0.00662402,0.0198721,0.00662402,0.0198721,0.00662402
3,1993.12,1.30971,0.87858,1.17119,0.74813,0.44035,0.44172,0.26013,1.36687,1.02769,1.23606,0.0296742,0.00989141,0.0296742,0.00989141,0.0296742,0.00989141,0.0296742,0.00989141
4,2832.18,1.26674,0.8442,1.15832,0.80425,0.62635,0.65465,0.42772,1.23053,0.87334,1.15394,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,3713.83,1.18724,0.79032,1.13076,0.85206,0.65698,0.70439,0.48243,1.16182,0.80558,1.13376,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,4768.1,1.13854,0.7486,1.11121,0.85104,0.47158,0.49646,0.3393,1.12919,0.75967,1.09942,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,5880.55,1.09852,0.72157,1.09402,0.84342,0.73268,0.77017,0.55427,1.04827,0.81245,1.08726,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,7052.67,1.07375,0.69758,1.08334,0.88774,0.74138,0.78686,0.56137,1.03488,0.71645,1.06531,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,8366.75,1.04775,0.6793,1.07456,0.88319,0.7964,0.84455,0.60193,1.01956,0.70229,1.05964,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,9554.36,1.03056,0.66783,1.06798,0.88638,0.82145,0.87594,0.64045,0.97597,0.71214,1.04532,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,10830.4,1.01357,0.65963,1.06015,0.89558,0.80079,0.85652,0.63073,0.9689,0.69639,1.03888,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,12200.4,1.00389,0.65355,1.05575,0.88003,0.86795,0.91275,0.67318,0.95241,0.67664,1.02791,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,13530.3,0.99179,0.64306,1.05027,0.89545,0.83581,0.88492,0.6552,0.94542,0.66123,1.02092,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,557.313,0.97425,0.63035,1.04271,0.91356,0.6503,0.68015,0.51497,0.92011,0.61977,1.01575,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,1289.43,0.96988,0.62693,1.04044,0.90145,0.60503,0.63049,0.48457,0.90811,0.64907,1.01169,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
