epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,362.679,1.83829,-7.61829,2.6221,0.76443,0.1945,0.2171,0.12858,1.35942,1.96839,1.5375,0.000658333,0.000658333,0.000658333
2,11264,1.45054,-3.42639,2.33961,0.8304,0.13544,0.16404,0.10764,1.22264,1.66958,1.65658,0.00119382,0.00119382,0.00119382
3,27585.8,1.31562,-5.49066,2.22097,0.74128,0.11597,0.14742,0.09928,1.22947,1.68594,1.35776,0.00159732,0.00159732,0.00159732
4,28922.9,1.27747,-9.41913,2.08906,0.73169,0.06902,0.11943,0.07694,1.23715,1.58612,1.4027,0.001406,0.001406,0.001406
5,29576.3,1.17809,-5.63864,1.97798,0.79874,0.07313,0.14909,0.10557,1.02631,1.36537,1.19858,0.001208,0.001208,0.001208
6,31641.2,1.16521,-8.03952,1.90876,0.74049,0.08546,0.16356,0.11955,1.04049,1.33603,1.26361,0.00101,0.00101,0.00101
7,33576.6,1.06824,-7.89048,1.8323,0.88336,0.08135,0.17767,0.13037,0.95909,1.27124,1.15987,0.000812,0.000812,0.000812
8,34446.4,1.0119,-5.37316,1.79548,0.81507,0.07486,0.16219,0.12107,0.94628,1.24171,1.15429,0.000614,0.000614,0.000614
9,36258.2,0.96335,-5.18379,1.75766,0.82328,0.0781,0.19635,0.15067,0.90793,1.22457,1.10615,0.000416,0.000416,0.000416
10,38082.8,0.91312,-10.9746,1.69825,0.8245,0.07399,0.19983,0.1532,0.87653,1.16616,1.16721,0.000218,0.000218,0.000218
