epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
83,295.309,0.93156,0.49395,0.17986,0.00234,0.90354,0.89196,0.94775,0.7587,0.82279,0.45778,0.2801,0.00076,0.0003764,0.0003764,0.0003764
84,618.523,0.92423,0.49564,0.18184,0.00238,0.90319,0.8869,0.94726,0.75543,0.82942,0.45637,0.27996,0.00072,0.0003566,0.0003566,0.0003566
85,922.088,0.92508,0.49285,0.18113,0.00228,0.90747,0.88807,0.94842,0.75584,0.82957,0.45531,0.27972,0.00089,0.0003368,0.0003368,0.0003368
86,1226.26,0.92167,0.49033,0.18202,0.00231,0.91318,0.88812,0.94886,0.75702,0.82606,0.45159,0.28003,0.00083,0.000317,0.000317,0.000317
87,1553.84,0.91927,0.48672,0.18047,0.00234,0.90414,0.89562,0.94907,0.75855,0.82505,0.44796,0.27966,0.00087,0.0002972,0.0002972,0.0002972
88,1918.19,0.91461,0.48814,0.18436,0.00196,0.90833,0.89243,0.94946,0.75769,0.82316,0.45211,0.27958,0.00083,0.0002774,0.0002774,0.0002774
89,2259.77,0.92097,0.49428,0.17729,0.00227,0.90559,0.88877,0.94864,0.75826,0.8237,0.45567,0.27989,0.00077,0.0002576,0.0002576,0.0002576
90,2595.92,0.91257,0.48544,0.18038,0.00224,0.91135,0.89129,0.94924,0.75924,0.82273,0.45049,0.28019,0.00081,0.0002378,0.0002378,0.0002378
91,3105.68,0.87352,0.46992,0.27175,0.00096,0.90009,0.89121,0.94814,0.75604,0.8277,0.45485,0.27999,0.00078,0.000218,0.000218,0.000218
92,3491.21,0.86062,0.45527,0.27139,0.00083,0.90595,0.88835,0.94855,0.75703,0.82868,0.45374,0.2795,0.00083,0.0001982,0.0001982,0.0001982
93,3843.37,0.85806,0.45475,0.27124,0.00079,0.90815,0.8897,0.94993,0.7598,0.82391,0.44651,0.27981,0.00087,0.0001784,0.0001784,0.0001784
94,4171.06,0.84589,0.44609,0.27212,0.00075,0.9058,0.89235,0.95046,0.76096,0.82286,0.44319,0.28012,0.00089,0.0001586,0.0001586,0.0001586
95,4502.2,0.84733,0.44548,0.27537,0.00076,0.91026,0.88968,0.95066,0.76069,0.82019,0.44387,0.28056,0.00089,0.0001388,0.0001388,0.0001388
96,4805.42,0.84298,0.44978,0.27357,0.00075,0.9124,0.88754,0.95043,0.76367,0.81663,0.44403,0.27993,0.00091,0.000119,0.000119,0.000119
97,5094.18,0.83521,0.44501,0.27487,0.00077,0.90908,0.89056,0.95115,0.76279,0.81769,0.44197,0.28044,0.00088,9.92e-05,9.92e-05,9.92e-05
98,5431.04,0.84318,0.44886,0.27014,0.00075,0.91359,0.89023,0.95114,0.76452,0.81481,0.4404,0.28023,0.00084,7.94e-05,7.94e-05,7.94e-05
99,5762.91,0.83824,0.44242,0.27424,0.00076,0.91007,0.89149,0.95102,0.76388,0.81377,0.4416,0.28034,0.00092,5.96e-05,5.96e-05,5.96e-05
100,6089.44,0.83115,0.4389,0.27364,0.00073,0.91228,0.88986,0.95115,0.76346,0.81691,0.44137,0.28036,0.00089,3.98e-05,3.98e-05,3.98e-05
