epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,359.717,2.13321,1.54707,2.37873,0.79438,0.74362,0.80069,0.41379,1.73713,1.07702,2.44811,0.000663082,0.000663082,0.000663082
2,746.162,1.53085,0.94886,2.09073,0.86656,0.68291,0.80187,0.50765,1.36712,0.95017,2.16998,0.00131658,0.00131658,0.00131658
3,1078.31,1.46702,0.89132,2.03543,0.86286,0.86309,0.89669,0.57726,1.40388,0.89062,2.07301,0.00195689,0.00195689,0.00195689
4,1513.89,1.42935,0.86909,1.98809,0.90947,0.88501,0.93344,0.5988,1.38228,0.85401,2.18699,0.0019406,0.0019406,0.0019406
5,1883.49,1.33189,0.81844,1.92165,0.91679,0.8943,0.92983,0.61907,1.31006,0.80281,1.89802,0.0019208,0.0019208,0.0019208
6,2325.9,1.28871,0.79452,1.88508,0.90779,0.8711,0.921,0.65005,1.1639,0.7738,1.84157,0.001901,0.001901,0.001901
7,2723.71,1.27507,0.77741,1.85056,0.92286,0.8922,0.93645,0.67269,1.17589,0.73444,2.05765,0.0018812,0.0018812,0.0018812
8,3092.61,1.24888,0.76083,1.82358,0.92505,0.89017,0.93842,0.66656,1.17611,0.73529,1.8148,0.0018614,0.0018614,0.0018614
9,3443.03,1.22911,0.74511,1.81192,0.92813,0.89833,0.94328,0.66347,1.19043,0.7514,2.1889,0.0018416,0.0018416,0.0018416
10,3770.17,1.23162,0.73865,1.77956,0.92858,0.90435,0.94577,0.66536,1.20217,0.72363,2.00041,0.0018218,0.0018218,0.0018218
11,4129.34,1.19718,0.72751,1.75909,0.9379,0.89877,0.9473,0.69668,1.1091,0.70315,1.91947,0.001802,0.001802,0.001802
12,4578.53,1.19281,0.72229,1.75407,0.91766,0.90115,0.94117,0.70025,1.07302,0.71738,1.7538,0.0017822,0.0017822,0.0017822
13,5026.58,1.16238,0.70678,1.73408,0.92994,0.89586,0.94022,0.69086,1.09561,0.67702,1.86771,0.0017624,0.0017624,0.0017624
14,5490.96,1.15222,0.70226,1.72758,0.91078,0.87997,0.93101,0.6738,1.11454,0.74493,1.74727,0.0017426,0.0017426,0.0017426
15,5949.55,1.14302,0.69804,1.73646,0.93734,0.90505,0.94921,0.68636,1.12526,0.71635,1.79197,0.0017228,0.0017228,0.0017228
